Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date
ADULT RESIDENTIAL,347004879,AFSHAR CARE HOME,"AFSHAR, ALI","AFSHAR, ALI F.",(916) 594-9948,2640 KANSAS WAY,SACRAMENTO,CA,95827,SACRAMENTO,27,6,LICENSED,1/27/2012,
ADULT RESIDENTIAL,79200305,AFU ONE VOICE CARE,"AFU, ANA","AFU, ANA",(925) 457-7460,180 OAKPOINT COURT,BAY POINT,CA,94565,CONTRA COSTA,15,6,LICENSED,12/6/2013,
ADULT RESIDENTIAL,79200092,"AG HEALTH CARE, INC.",AG HEALTH CARE INC.,RENE TANG,(925) 634-8863,773 SARAH STREET,BRENTWOOD,CA,94513,CONTRA COSTA,15,6,CLOSED,9/8/2005,7/14/2018
ADULT RESIDENTIAL,197803050,AGAPE CHRISTIAN-CLARK HOUSE,AGAPE CHRISTIAN HOMES,JUDITH LOPEZ,(562) 421-3889,3454 CLARK AVENUE,LONG BEACH,CA,90808,LOS ANGELES,28,5,LICENSED,7/10/2000,
ADULT RESIDENTIAL,198601052,AGAPE FAMILY HOME,"ANDERSON, EVANGELA ROCHELLE","ANDERSON, EVANGELA R.",(323) 733-5675,2511 3RD AVENUE,LOS ANGELES,CA,90018,LOS ANGELES,28,6,LICENSED,7/2/2008,
ADULT RESIDENTIAL,374601419,AGAPE HOME,"SAGANA, AMADOR",AMADOR SAGANA,(619) 271-0638,267 CHURCH AVENUE,CHULA VISTA,CA,91910,SAN DIEGO,8,6,LICENSED,1/16/2003,
ADULT RESIDENTIAL,198600741,AGAPE HOME MISSION,"LEE, KANG WON","WON, LEE KANG",(323) 734-7570,2205 SOUTH HOBART BLVD.,LOS ANGELES,CA,90018,LOS ANGELES,28,6,CLOSED,6/2/2008,7/28/2014
ADULT RESIDENTIAL,79200550,AGAPE PLACE OF HOPE INC,AGAPE PLACE OF HOPE INC,"TAYLOR, TANYA",(925) 777-3390,5447 BENTTREE WAY,ANTIOCH,CA,94531,CONTRA COSTA,15,6,LICENSED,2/27/2017,
ADULT RESIDENTIAL,370808516,AGAPE RESIDENTIAL CARE,MAVIS SMITH,MAVIS SMITH,(619) 234-2980,3474 VALLE AVENUE,SAN DIEGO,CA,92113,SAN DIEGO,8,6,CLOSED,8/4/1993,7/1/2018
ADULT RESIDENTIAL,197609370,AGAPE RESIDENTIAL HOME,AGAPE RESIDENTIAL HOME,"WAKABI, MOSES D",(747) 224-0635,8800 JUMILLA AVE,NORTHRIDGE,CA,91324,LOS ANGELES,31,4,LICENSED,1/16/2018,
ADULT RESIDENTIAL,370808541,AGAPE #2,"JUNIEL,  JAMES AND BEVERLY",DEFINIQUE JUNIEL,(760) 480-8036,11024 DELPHINUS WAY,SAN DIEGO,CA,92126,SAN DIEGO,8,6,LICENSED,7/28/1993,
ADULT RESIDENTIAL,585002583,AGATI HOME CARE,"AGATI, AZUCENA RIVAS","AGATI, AZUCENA",(530) 741-1434,5554 MEADOW BROOK WAY,MARYSVILLE,CA,95901,YUBA,25,4,LICENSED,5/4/2015,
ADULT RESIDENTIAL,585002663,AGATI HOME CARE 2,"AGATI, AZUCENA RIVAS","AGATI, AZUCENA RIVAS",(858) 386-2325,5703 MEADOW BROOK WAY,MARYSVILLE,CA,95901,YUBA,25,4,LICENSED,5/17/2018,
ADULT RESIDENTIAL,547204100,AGDA RESIDENTIAL CARE HOME,"AGDA, CHRISTOPHER","AGDA, CHRISTOPHER",(559) 788-0696,1846 PAMELA AVENUE,PORTERVILLE,CA,93257,TULARE,24,6,LICENSED,4/7/2008,
ADULT RESIDENTIAL,486803334,AGING LOVELY,"ALVIS, HIGINIA","ALVIS, HIGINIA",(707) 421-1665,1148 HAYES STREET,FAIRFIELD,CA,94533,SOLANO,21,6,LICENSED,4/12/2011,
ADULT RESIDENTIAL,306000997,AGOR'S GUEST HOME,"AGOR, CONCEPCION & EUSTAQUIO","AGOR, EUSTAQUIO &",(714) 533-4438,1678 W. PALAIS ROAD,ANAHEIM,CA,92802,ORANGE,22,6,CLOSED,6/11/1999,3/1/2016
ADULT RESIDENTIAL,306001134,AGOR'S GUEST HOME #2,CONCEPCION/EUSTAQUIO AGOR,EUSTAQUIO B. AGOR,(714) 956-5420,1777 W. BEACON AVE.,ANAHEIM,CA,92802,ORANGE,22,6,CLOSED,3/24/2000,8/1/2015
ADULT RESIDENTIAL,197801678,AGUILAR FAMILY HOME,"AGUILAR, OBDULIA & JESSE",MR. & MRS. AGUILAR,(626) 699-2080,20514 COVINA HILLS ROAD,COVINA,CA,91724,LOS ANGELES,28,6,LICENSED,10/3/1997,
ADULT RESIDENTIAL,547203489,AGUILAR HOME,"AGUILAR, SYLVIA & JOHN","AGUILAR, SYLVIA R.",(559) 784-5157,17353 ROAD 320,SPRINGVILLE,CA,93265,TULARE,24,4,LICENSED,3/2/2007,
ADULT RESIDENTIAL,191591028,AGUILAR HOME,"AGUILAR, OBDULIA","AGUILAR, OBDULIA",(626) 331-8985,18469 ORKNEY ST,AZUSA,CA,91702,LOS ANGELES,28,6,CLOSED,3/9/1987,5/17/2016
ADULT RESIDENTIAL,198600778,AHMEN RESIDENTIAL FACILITY,DEBRA ADEWALE,DEBRA ADEWALE,(323) 779-5324,9618 SOUTH 8TH AVENUE,INGLEWOOD,CA,90305,LOS ANGELES,28,3,LICENSED,12/13/2006,
ADULT RESIDENTIAL,19200456,AIC ADULT RESIDENTIAL FACILITY,"MACATANGAY, HELEN M.","MACATANGAY, HELEN M.",(510) 378-5167,23652 NEVADA ROAD,HAYWARD,CA,94541,ALAMEDA,15,6,CLOSED,7/31/2013,4/2/2015
ADULT RESIDENTIAL,374600934,AIDA'S ADULT CARE,"ELEFANTE, ANTONIO SALGADO",ANTONIO ELEFANTE,(619) 475-1736,7373 WESTBROOK AVENUE,SAN DIEGO,CA,92139,SAN DIEGO,8,6,LICENSED,6/22/2000,
ADULT RESIDENTIAL,340309118,AIDA'S FAMILY HOME,"DESAMITO, ADELAIDA F.","DESAMITO, ADELAIDA",(916) 481-0726,4930 ARDEN WAY,CARMICHAEL,CA,95608,SACRAMENTO,27,6,LICENSED,3/25/1986,
ADULT RESIDENTIAL,191220139,AIDAS BOARD & CARE HOME,"MALLA, FLORIDA","MALLA, FLORIDA",(661) 948-2341,45546 GADSDEN AVENUE,LANCASTER,CA,93534,LOS ANGELES,31,6,LICENSED,11/6/1986,
ADULT RESIDENTIAL,198601768,AIDEN HOMES INC,AIDEN HOMES INC.,BENJAMIN BAUTISTA,(323) 222-3462,4209-4211 GRIFFIN AVE,LOS ANGELES,CA,90031,LOS ANGELES,28,28,LICENSED,4/29/2016,
ADULT RESIDENTIAL,347003327,AILEEN CANTOR-FERMO RESIDENTIAL CARE HOME,"FERMO-CANTOR, AILEEN","FERMO-CANTOR, AILEEN",(916) 992-1904,7016 22ND STREET,RIO LINDA,CA,95673,SACRAMENTO,27,6,LICENSED,11/23/2005,
ADULT RESIDENTIAL,157206653,AIMES CORONADO,"AIMES HOMES, INC.","GRAVES, SANDRA",(661) 327-3332,4516 CORONADO AVE.,BAKERSFIELD,CA,93306,KERN,24,4,LICENSED,10/29/2013,
ADULT RESIDENTIAL,157204119,AIMES CREST,"AIMES HOMES, INC.","WARD, MIKIBA",(661) 873-7576,3505 CREST DRIVE,BAKERSFIELD,CA,93306,KERN,24,4,LICENSED,5/12/2008,
ADULT RESIDENTIAL,157206585,AIMES JADE,"AIMES HOMES, INC.","GRAVES, SANDRA",(661) 327-3332,3151 JADE AVE,BAKERSFIELD,CA,93306,KERN,24,4,LICENSED,5/24/2012,
ADULT RESIDENTIAL,157206341,AIMES NOBLE,"AIMES HOMES, INC.","CORTEZ, JOSE",(661) 589-3737,5717 NOBLE STREET,BAKERSFIELD,CA,93314,KERN,24,4,LICENSED,12/21/2009,
ADULT RESIDENTIAL,157204037,AIMES SHELLEY,AIMES HOMES INC.,"WARD, MIKIBA",(661) 327-3332,2808 SHELLEY LANE,BAKERSFIELD,CA,93306,KERN,24,4,LICENSED,10/5/2007,
ADULT RESIDENTIAL,480100015,AIROSO FAMILY HOME,"AIROSO, ANGELES & CRISELDA",AIROSO CRISELDA,(707) 554-4982,1502 SACRAMENTO STREET,VALLEJO,CA,94590,SOLANO,21,4,LICENSED,1/23/1975,
ADULT RESIDENTIAL,197600960,AIZABEL HOME,AIZABEL HOME INC.,"TOLENTINO, MARIA LILIAN",(818) 545-3975,1425 ETHEL ST.,GLENDALE,CA,91207,LOS ANGELES,28,6,LICENSED,2/1/1997,
ADULT RESIDENTIAL,107208857,AK'S HOME OF CARE LLC,AK'S HOME OF CARE LLC,"MALHI, AKWANT",(559) 708-3485,122 W SAN GABRIEL AVE,CLOVIS,CA,93612,FRESNO,24,6,LICENSED,10/3/2018,
ADULT RESIDENTIAL,435202546,AK RESIDENTIAL CARE HOME,"KAYKHA, ABDULLAH & FATEMEH","KAYKHA, ABDULLAH",(408) 472-5808,497 SERENADE WAY,SAN JOSE,CA,95111,SANTA CLARA,26,6,LICENSED,4/28/2017,
ADULT RESIDENTIAL,374601442,ALADO RESIDENTIAL CARE,"ANGELOVA, GENA","ANGELOVA, GENA",(619) 390-9844,8451 ALADO PLACE,EL CAJON,CA,92021,SAN DIEGO,8,4,LICENSED,8/22/2006,
ADULT RESIDENTIAL,425801008,ALAMEDA HOUSE,MENTAL HEALTH ASSOCIATION IN SANTA BARBARA COUNTY,JENNIFER GODDARD,(805) 685-1111,7167 ALAMEDA AVENUE,GOLETA,CA,93117,SANTA BARBARA,29,6,LICENSED,10/20/2015,
ADULT RESIDENTIAL,198602984,ALBERTSON RESIDENTIAL CARE,SERENE COMMUNITY CARE INC,"NELSON, LAKISHA",(626) 712-8633,13903 S ALBERTSON AVE,COMPTON,CA,90222,LOS ANGELES,28,4,PENDING,,
ADULT RESIDENTIAL,419200005,ALBRIGHT HOME,"VISTA GRANDE MANOR,INC,","ANCHETA, KERSTEN",(650) 588-2962,2501 ALBRIGHT WAY,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,14,6,LICENSED,10/16/2002,
ADULT RESIDENTIAL,397202967,ALCOR GUEST HOME,"POIER, CORAZON","POIER, CORAZON",(209) 981-9814,2193 ALTA SIERRA STREET,STOCKTON,CA,95206,SAN JOAQUIN,27,5,LICENSED,9/26/2005,
ADULT RESIDENTIAL,347003565,ALEGRE LOVELACE CARE HOME,"LOVELACE, DENISE","LOVELACE, DENISE",(916) 476-9821,10320 CANADEO CIR,ELK GROVE,CA,95757,SACRAMENTO,27,6,LICENSED,7/17/2006,
ADULT RESIDENTIAL,347005256,ALEGRE LOVELACE CARE HOME II,DENISE LOVELACE,"LOVELACE, DENISE",(916) 476-9821,10120 VAN BROCKLIN WAY,ELK GROVE,CA,95757,SACRAMENTO,27,3,CLOSED,9/17/2014,4/26/2016
ADULT RESIDENTIAL,374601096,ALEJANDRA'S HOME #1,"CAMPBELL, ALEJANDRA",PARLAR C. NOVAK,(619) 934-5585,720 BAYLOR,BONITA,CA,91902,SAN DIEGO,8,6,LICENSED,6/11/2001,
ADULT RESIDENTIAL,197608108,ALEMOH FAMILY HOME,"ALEMOH, BABATUNDE & ALEMOH, NANCY",BABATUNDE ALEMOH,(818) 899-5354,10714 KURT STREET,LAKEVIEW TERRACE,CA,91342,LOS ANGELES,31,4,LICENSED,4/20/2011,
ADULT RESIDENTIAL,306004497,ALENA'S GUEST HOME,"ARMX COMPANY, LLC",ANN A. RUEDAS,(714) 925-5249,1242 N. LEWELLYN AVENUE,ANAHEIM,CA,92805,ORANGE,22,6,LICENSED,12/27/2012,
ADULT RESIDENTIAL,306001396,ALEXA'S HOME,"LOVING CARE HOMES, INC.",ROCIO BUSTAMANTE,(657) 245-3165,3117 W. CUBBON,SANTA ANA,CA,92704,ORANGE,22,6,LICENSED,8/31/2001,
ADULT RESIDENTIAL,198600629,ALEXANDER'S HOUSE TOO,BARBARA JEAN BARNES,KELLI JOHNSON,(626) 794-7179,1791 NAVARRO AVE.,PASADENA,CA,91103,LOS ANGELES,28,5,LICENSED,3/30/2006,
ADULT RESIDENTIAL,157206785,ALEXANDER ADULT RESIDENTIAL CARE,LAUNDA ALEXANDER,"ALEXANDER, LAUNDA",(559) 842-3090,381 S 3RD STREET,FRESNO,CA,93630,KERN,24,6,CLOSED,,12/28/2015
ADULT RESIDENTIAL,107206790,ALEXANDER ADULT RESIDENTIAL CARE,"ALEXANDER, LAUNDA","ALEXANDER, NICOLE",(559) 842-3090,381 S 3RD STREET,KERMAN,CA,93630,FRESNO,24,6,LICENSED,2/3/2017,
ADULT RESIDENTIAL,306004099,ALEXANDER FAMILY HOME,"ALEXANDER FAMILY HOME, INC.",HILEWNA TAMRAT,(562) 404-9673,13020 BONA VISTA LANE,LA MIRADA,CA,90638,ORANGE,28,4,LICENSED,9/21/2009,
ADULT RESIDENTIAL,191802481,ALEXANDER HOME,KIMBERLY ALEXANDER,"ALEXANDER, KIMBERLY",(323) 903-6652,5121 VALLEY RIDGE,LOS ANGELES,CA,90043,LOS ANGELES,28,6,CLOSED,11/15/1975,5/25/2017
ADULT RESIDENTIAL,19200118,ALEXEN HOME,ALEXEN CORPORATION,ROBERTO S ANCHETA,(510) 798-4660,15902 VIA DESCANSO,SAN LORENZO,CA,94580,ALAMEDA,15,6,LICENSED,5/4/2004,
ADULT RESIDENTIAL,336408315,ALFA RESIDENTIAL HOME,MARY MARTIN,MARY MARTIN,(951) 656-1831,22920 BROMPTON STREET,MORENO VALLEY,CA,92553,RIVERSIDE,18,6,LICENSED,8/21/2003,
ADULT RESIDENTIAL,347003650,ALGIN GUEST HOME,"CAMPOSAGRADO, ALBERTO","CAMPOSAGRADO, ALBERTO",(916) 387-7372,8660 HALLBORO CT,SACRAMENTO,CA,95828,SACRAMENTO,27,6,CLOSED,4/12/2007,1/18/2017
ADULT RESIDENTIAL,430700017,ALI BABA # 1,ALI BABA CORPORATION,JENNIFER H. TERRY,(408) 289-1644,260 SOUTH 11TH STREET,SAN JOSE,CA,95112,SANTA CLARA,26,38,LICENSED,6/21/1993,
ADULT RESIDENTIAL,430701476,ALI BABA # 2,ALI BABA CORPORATION,R,(408) 289-1644,268 SOUTH 11TH STREET,SAN JOSE,CA,95112,SANTA CLARA,26,26,LICENSED,6/21/1993,
ADULT RESIDENTIAL,490105354,ALICE'S SONOMA AVENUE HOME,"MOORE, CAROL A.",CAROL MOORE,(707) 545-8330,900 SONOMA AVENUE,SANTA ROSA,CA,95404,SONOMA,21,4,LICENSED,9/26/1983,
ADULT RESIDENTIAL,197603456,ALICIA CARE CENTER,"WALTERS RESIDENCE HOMES, INC. DBA. ALICIA CARE CTR",PEGGY PAYNE WALTERS,(818) 240-5171,1823 VASSAR AVE.,GLENDALE,CA,91204,LOS ANGELES,28,6,LICENSED,5/8/2002,
ADULT RESIDENTIAL,79200849,ALICIAS HEAVENLY CARE HOME,ALICIAS HEAVENLY CARE HOME INC,"GONZALEZ, MICHELLE",(925) 390-6883,2212 TRINITY DR,BRENTWOOD,CA,94513,CONTRA COSTA,15,6,PENDING,,
ADULT RESIDENTIAL,198602007,ALKEN CARE,"RUALO, ALBERTO C. & MARIA THERESA C.","RUALO, MARIA THERESA C.",(562) 929-7382,13649 FLATBUSH AVENUE,NORWALK,CA,90650,LOS ANGELES,28,4,LICENSED,9/9/2016,
ADULT RESIDENTIAL,216801290,ALL SAINTS EXTENDED CARE INC,"ALL SAINTS EXTENDED CARE, INC.",MATTHEW HERNER,(415) 456-0656,1373 LINCOLN AVE.,SAN RAFAEL,CA,94901,MARIN,21,15,LICENSED,8/18/2003,
ADULT RESIDENTIAL,486801556,ALL SEASONS CARE HOME,"GARCIA, PERLA","GARCIA, PERLA V.",(707) 416-3862,993 BUTTERNUT CT.,FAIRFIELD,CA,94533,SOLANO,21,6,LICENSED,5/10/2004,
ADULT RESIDENTIAL,197607729,"ALL SEASONS HOMES, INC.","ALL SEASONS HOMES, INC.",ANN LIZA CALDERON-MACIAS,(661) 373-3223,3202 WEST ALBRET STREET,LANCASTER,CA,93536,LOS ANGELES,31,4,LICENSED,5/7/2009,
ADULT RESIDENTIAL,419210092,ALLANAS HOME,"ANEW CARE, INC.","GANIO, BETTY",(650) 345-1242,506 E. 39TH AVENUE,SAN MATEO,CA,94403,SAN MATEO,14,6,CLOSED,6/8/2010,6/29/2017
ADULT RESIDENTIAL,340317807,ALLEN'S CARE HOME,"ALLEN,WILLIE","ALLEN,WILLIE",(916) 922-9211,3701 KNIGHTLINGER STREET,SACRAMENTO,CA,95838,SACRAMENTO,27,6,LICENSED,11/8/1993,
ADULT RESIDENTIAL,347002597,ALLEN'S CARE HOME  #2,MELVINA ALLEN,"ALLEN, MELVINA",(916) 359-4319,1304 MAIN AVENUE,SACRAMENTO,CA,95838,SACRAMENTO,27,6,LICENSED,8/13/2003,
ADULT RESIDENTIAL,347005607,ALLEN'S LOVING CARE,JASMINE PARCHET ALLEN,JASMINE ALLEN,(916) 868-3380,4929 48TH STREET,SACRAMENTO,CA,95820,SACRAMENTO,27,4,CLOSED,,1/8/2016
ADULT RESIDENTIAL,191800619,ALLEN'S SMALL FAMILY HOME,"ALLEN, OLLIE MAE","ALLEN, OLLIE MAE",(323) 965-9133,2543 BURNSIDE AVE.,LOS ANGELES,CA,90016,LOS ANGELES,28,6,LICENSED,9/15/1988,
ADULT RESIDENTIAL,198200231,ALLEN FAMILY HOME II,"ALLEN, OLLIE MAE","ALLEN, OLLIE MAE",(323) 295-0696,6217 VERDUN AVE,LOS ANGELES,CA,90043,LOS ANGELES,28,6,LICENSED,2/16/1995,
ADULT RESIDENTIAL,107204008,ALLEN RESIDENTIAL HOLLAND HOUSE,"ALLEN RESIDENTIAL, INC. & ALLEN, JOHN L.","ALLEN, JOHN",(559) 999-6261,5628 W. HOLLAND,FRESNO,CA,93722,FRESNO,24,6,LICENSED,6/22/2007,
ADULT RESIDENTIAL,107203204,ALLEN RESIDENTIAL VISTA HOUSE,"ALLEN RESIDENTIAL, INC.","ALLEN, JOHN",(559) 277-0714,4591 N. VISTA,FRESNO,CA,93722,FRESNO,24,6,LICENSED,5/23/2005,
ADULT RESIDENTIAL,415601011,ALLIANCE CARE HOME,A AND A CARE SERVICES INC,"MONTIEL, ALDO",(415) 606-3215,935 FOOTHILL DRIVE,DALY CITY,CA,94015,SAN MATEO,14,4,LICENSED,4/30/2018,
ADULT RESIDENTIAL,107208774,"ALLIANCE RES CARE HOMES, INC DBA GARIBAYHOME III","GERMAN, LYDIA","GERMAN, LYDIA",(559) 260-1502,1640 N DELNO AVE,FRESNO,CA,93705,FRESNO,24,4,LICENSED,7/27/2017,
ADULT RESIDENTIAL,397005007,ALLIEU'S PARADISE GUEST HOME,"ALLIEU, KARIMU & ELEANOR",ERNEST L. BROWN,(209) 688-1805,2254 VANGOGH LANE,STOCKTON,CA,95206,SAN JOAQUIN,27,6,CLOSED,6/8/2012,5/27/2014
ADULT RESIDENTIAL,157203990,ALLISON MORGAN RESIDENCE,"NEW HORIZON RESOURCES, INC.","ALLISON, KEVIN",(661) 679-4946,7308 STELLA COURT,BAKERSFIELD,CA,93312,KERN,24,3,LICENSED,8/22/2007,
ADULT RESIDENTIAL,317003087,ALLMON CARE HOME,"ALLMON, CAROL & ALLMON, CLARENCE","ALLMON, CAROL",(530) 878-0204,300 LARSEN LANE,COLFAX,CA,95703,PLACER,27,6,LICENSED,9/10/2004,
ADULT RESIDENTIAL,581374501,ALMA AMAYA'S FAMILY HOME,"AMAYA, ALMA","AMAYA, ALMA",(530) 742-3997,1716 8TH AVENUE,OLIVEHURST,CA,95961,YUBA,25,5,LICENSED,4/23/1993,
ADULT RESIDENTIAL,515000483,ALMA AMAYA'S FAMILY HOME II,"AMAYA, ALMA","AMAYA, ALMA",(530) 671-6816,589 BIRD STREET,YUBA CITY,CA,95991,SUTTER,25,6,LICENSED,4/22/1997,
ADULT RESIDENTIAL,374602435,ALMA HOME,"OSUNA, LESVIA MARGARITA",MARGARITA OSUNA,(760) 745-2081,1441 WINSOME DRIVE,ESCONDIDO,CA,92029,SAN DIEGO,8,6,LICENSED,4/26/2007,
ADULT RESIDENTIAL,191221667,ALMA HOUSE,GLENDALE ASSOCIATION FOR THE RETARDED,"PETERSON, DONALD",(818) 502-0929,1123 ALMA STREET,GLENDALE,CA,91202,LOS ANGELES,28,6,LICENSED,5/15/1991,
ADULT RESIDENTIAL,197602569,ALMA LODGE,"YANSON, AIDA & SABIO, MARILOU",AIDA YANSON,(323) 254-6817,1750 COLORADO BLVD.,LOS ANGELES,CA,90041,LOS ANGELES,31,80,LICENSED,12/1/1999,
ADULT RESIDENTIAL,330911400,ALMAC RESIDENTIAL 2,"DE LA ROCHA, CRISTINA","DE LA ROCHA, CRISTINA",(951) 376-1046,4464 SUPERIOR ST.,RIVERSIDE,CA,92505,RIVERSIDE,18,6,LICENSED,7/9/1993,
ADULT RESIDENTIAL,336426232,ALMAR ADULT RESIDENTIAL FACILITY,BLANCA CORTES-PEGG,BLANCA CORTES-PEGG,(951) 343-7242,5251 ALMAR ST.,RIVERSIDE,CA,92505,RIVERSIDE,18,4,LICENSED,6/1/2015,
ADULT RESIDENTIAL,374603619,ALOHA HOUSE,"OHANA HOUSE, INC.","GARCIA, LAURA",(619) 271-6561,580 JUNIPER STREET,CHULA VISTA,CA,91911,SAN DIEGO,8,4,CLOSED,3/6/2015,2/23/2018
ADULT RESIDENTIAL,374603242,ALOHA HOUSE,"OHANA HOUSE, INC",CATHERINE VELASCO,(619) 869-3188,812 PLAZA MAR,CHULA VISTA,CA,91910,SAN DIEGO,8,4,CLOSED,1/17/2014,3/6/2015
ADULT RESIDENTIAL,19200655,ALOHA RESIDENTIAL CARE INC,ALOHA RESIDENTIAL CARE FACILITY INC,KATELYN SALVADOR,(510) 921-4949,34706 WILLIAMS WAY,UNION CITY,CA,94587,ALAMEDA,15,6,LICENSED,11/16/2016,
ADULT RESIDENTIAL,366426793,ALOHA SPIRIT RESIDENCE,"MARIA TALLA, OMAR TALLA",TALLA. OMAR,(626) 675-7256,7888 DUMOND DRIVE,FONTANA,CA,92336,SAN BERNARDINO,18,4,CLOSED,8/19/2015,7/20/2017
ADULT RESIDENTIAL,361800098,ALOHA SPIRIT RESIDENCE,"MARIA LUISA TALLA, OMAR TALLA, FLORANTE HERNANDEZ",TBD,(626) 675-7256,7888 DUMOND DRIVE,FONTANA,CA,92335,SAN BERNARDINO,18,4,LICENSED,7/20/2017,
ADULT RESIDENTIAL,197802365,ALONDRA HOME,AMBER'S DELIGHT,TAVIA VAUGHN,(562) 307-7459,11403 ALONDRA BLVD.,NORWALK,CA,90650,LOS ANGELES,28,4,LICENSED,12/1/1998,
ADULT RESIDENTIAL,336411384,ALPHA CHRISTIAN HOMES,"ALPHA CHRISTIAN HOMES, INC.",MARLITA JIMENA,(951) 435-7038,3542 RANCH STREET,PERRIS,CA,92571,RIVERSIDE,18,6,LICENSED,5/25/2006,
ADULT RESIDENTIAL,336425825,ALPHA CHRISTIAN HOMES AT REISLING,MARLITA JIMENA,"JIMENA, MARLITA",(951) 282-2938,857 REISLING ST.,HEMET,CA,92545,RIVERSIDE,18,3,LICENSED,4/29/2014,
ADULT RESIDENTIAL,336423458,ALPHA CHRISTIAN HOMES II,"ALPHA CHRISTIAN HOMES, INC.","JIMENA, MARLITA",(951) 282-2938,1028 PAINTBRUSH TRAIL,HEMET,CA,92545,RIVERSIDE,18,6,LICENSED,5/29/2008,
ADULT RESIDENTIAL,331800208,ALPHA CHRISTIANS HOMES AT WOLLYLEAF,ALPHA CHRISTIANS HOMES AT WOLLYLEAF,"JIMENA, MARLITA",(562) 569-8115,3049 WOOLYLEAF CT,PERRIS,CA,92571,RIVERSIDE,18,5,LICENSED,12/8/2017,
ADULT RESIDENTIAL,191801447,ALPHA HOME FOR EXCEPTIONAL NEEDS,FLORENCE FERNANDEZ,FELICIA FERNANDEZ,(323) 296-0228,3977 SO. DENKER STREET,LOS ANGELES,CA,90062,LOS ANGELES,28,6,LICENSED,3/1/1991,
ADULT RESIDENTIAL,198601460,ALPHA OMEGA,"HARRIS, YAOUNDE","HARRIS, YAOUNDE",(323) 815-1134,1911 W 41ST ST,LOS ANGELES,CA,90062,LOS ANGELES,28,4,LICENSED,2/14/2012,
ADULT RESIDENTIAL,198601974,ALPHA OMEGA II,ALPHA OMEGA II LLC,"HARRIS, YAOUNDE",(323) 620-8777,1027 W 64TH ST,LOS ANGELES,CA,90044,LOS ANGELES,28,4,LICENSED,7/15/2015,
ADULT RESIDENTIAL,197609636,ALPHA OMEGA III,"HARRIS, YAOUNDE","HARRIS, YAOUNDE",(323) 620-8777,3484 OLYMPIAD DR,VIEW PARK,CA,90043,LOS ANGELES,31,4,PENDING,,
ADULT RESIDENTIAL,419210043,ALPINE HOME,JANET THOMAS& JESSICA DABBS,JANET THOMAS,(650) 867-5945,526 LINCOLN AVE.,REDWOOD CITY,CA,94061,SAN MATEO,14,6,LICENSED,5/30/2006,
ADULT RESIDENTIAL,535002328,ALPINE HOUSE,WILLOW GLEN CARE CENTER,"SANDERS, LAURA",(530) 623-1200,250 MAIN STREET,WEAVERVILLE,CA,96093,TRINITY,25,6,LICENSED,5/11/2010,
ADULT RESIDENTIAL,370808095,ALPINE TERRACE,"JOHNSTON, DEBORAH",DEBORAH JOHNSTON,(619) 445-8716,1544 ALPINE TERRACE,ALPINE,CA,91901,SAN DIEGO,8,6,LICENSED,6/7/1988,
ADULT RESIDENTIAL,366403909,ALRU CARE CENTER,"LAYGO, ARMANDO & LAYGO, ARCELIA","LAYGO, ARCELIA",(909) 421-8755,1329 W ALRU ST,BLOOMINGTON,CA,92316,SAN BERNARDINO,18,6,LICENSED,4/23/2001,
ADULT RESIDENTIAL,347004050,ALTA ARDEN MANOR,"G STREET HOUSE BOARD & CARE, INC.","GAVINO, NELIE",(916) 929-8888,1832 MARKSTON ROAD,SACRAMENTO,CA,95825,SACRAMENTO,27,13,LICENSED,5/28/2008,
ADULT RESIDENTIAL,374602093,ALTA II,"HEARTS OF GOLD CARE HOMES, INC",PHANA KAO,(760) 941-0919,1337 ALTA VISTA DRIVE,VISTA,CA,92084,SAN DIEGO,8,6,LICENSED,10/7/2004,
ADULT RESIDENTIAL,374600519,ALTA VISTA HOME,HEARTS OF GOLD CARE HOMES INC.,LUZVIMINDA CABADING,(760) 758-4888,1975 ALTA VISTA DRIVE,VISTA,CA,92084,SAN DIEGO,8,6,LICENSED,6/2/1997,
ADULT RESIDENTIAL,157203339,ALTAVILLE ADULT RESIDENTIAL FACILITY,"JUANATAS, LUZ & DEMOSTHENES","JUANATAS,LUZ & DEMOSTHENES",(661) 322-5567,2015 BRUNDAGE LANE,BAKERSFIELD,CA,93304,KERN,24,29,CLOSED,10/12/2006,1/2/2015
ADULT RESIDENTIAL,157206886,ALTAVILLE ADULT RESIDENTIAL FACILITY,"DEAN'S CARE VILLA, INC.",BASILISA NOBLEZA,(661) 800-5944,2015 BRUNDAGE LANE,BAKERSFIELD,CA,93304,KERN,24,30,CLOSED,1/2/2015,8/4/2015
ADULT RESIDENTIAL,157207101,ALTAVILLE ADULT RESIDENTIAL FACILITY,"DEAN'S CARE VILLA, INC.","NOBLEZA, JOHN & BASILISA",(661) 872-3114,2603 MOUNT VERNON AVENUE,BAKERSFIELD,CA,93306,KERN,24,48,LICENSED,8/4/2015,
